longitude,latitude,distance,bathymetry
141.024949,37.316569,0,14.6328872651
141.02756337,37.3166237288,0.231656660144,-6.9276614277
141.030177745,37.3166784,0.463313319336,-6.77041524482
141.032792123,37.3167330138,0.694969977577,-6.29628037682
141.035406504,37.31678757,0.926626634866,-6.92922264708
141.03802089,37.3168420687,1.15828329121,-8.88063607937
141.040635279,37.3168965099,1.3899399466,-10.6392668227
141.043249672,37.3169508936,1.62159660104,-11.7718646658
141.045864069,37.3170052198,1.85325325454,-13.1232413265
141.048478469,37.3170594884,2.0849099071,-14.1453145048
141.051092874,37.3171136995,2.31656655871,-14.2330212043
141.053707282,37.3171678532,2.54822320937,-14.8814423431
141.056321693,37.3172219493,2.7798798591,-16.0317298553
141.058936109,37.3172759878,3.01153650788,-17.331934522
141.061550528,37.3173299689,3.24319315572,-18.3769539515
141.064164951,37.3173838925,3.47484980262,-19.0757214753
141.066779377,37.3174377585,3.70650644859,-20.087487425
141.069393808,37.317491567,3.93816309361,-21.266426792
141.072008242,37.317545318,4.1698197377,-22.5316327738
141.074622679,37.3175990115,4.40147638086,-23.3643409038
141.077237121,37.3176526475,4.63313302308,-24.0284996926
141.079851566,37.3177062259,4.86478966436,-25.1493732233
141.082466015,37.3177597468,5.09644630472,-26.3375284341
141.085080467,37.3178132102,5.32810294414,-27.5667131404
141.087694924,37.3178666161,5.55975958263,-29.2837021295
141.090309383,37.3179199645,5.79141622019,-31.2348025127
141.092923847,37.3179732553,6.02307285683,-33.2483714654
141.095538314,37.3180264887,6.25472949254,-35.3828573912
141.098152785,37.3180796645,6.48638612732,-37.0899024109
141.10076726,37.3181327828,6.71804276117,-37.1243103851
141.103381738,37.3181858436,6.94969939411,-37.3389017604
141.10599622,37.3182388468,7.18135602612,-37.9922384546
141.108610705,37.3182917926,7.4130126572,-38.5592861327
141.111225195,37.3183446808,7.64466928736,-39.3990720427
141.113839687,37.3183975115,7.87632591661,-40.7241786944
141.116454184,37.3184502846,8.10798254494,-41.4370622959
141.119068684,37.3185030003,8.33963917234,-42.2018907579
141.121683188,37.3185556584,8.57129579883,-44.1721260317
141.124297695,37.318608259,8.8029524244,-45.8288497894
141.126912206,37.3186608021,9.03460904906,-46.9449830961
141.129526721,37.3187132877,9.2662656728,-46.8898586265
141.132141239,37.3187657157,9.49792229563,-47.4392431337
141.134755761,37.3188180862,9.72957891755,-49.4753494035
141.137370286,37.3188703992,9.96123553855,-51.3847648823
141.139984815,37.3189226547,10.1928921586,-53.2662247687
141.142599348,37.3189748527,10.4245487778,-55.1232322042
141.145213884,37.3190269931,10.6562053961,-57.1158930856
141.147828424,37.319079076,10.8878620135,-58.9209482073
141.150442968,37.3191311014,11.1195186299,-58.8829914077
141.153057515,37.3191830693,11.3511752455,-59.4318557018
141.155672066,37.3192349796,11.5828318602,-61.4432352325
141.15828662,37.3192868324,11.8144884739,-63.6296833699
141.160901178,37.3193386277,12.0461450868,-66.4608699901
141.163515739,37.3193903655,12.2778016987,-70.727310539
141.166130304,37.3194420457,12.5094583098,-73.2437717884
141.168744872,37.3194936684,12.7411149199,-73.9676925513
141.171359444,37.3195452336,12.9727715291,-73.29064512
141.17397402,37.3195967413,13.2044281375,-72.6594185891
141.176588599,37.3196481915,13.436084745,-72.6505397915
141.179203182,37.3196995841,13.6677413515,-73.4224525309
141.181817768,37.3197509192,13.8993979572,-75.3340199889
141.184432358,37.3198021967,14.131054562,-79.0651741743
141.187046951,37.3198534168,14.3627111658,-80.7180229467
141.189661548,37.3199045793,14.5943677688,-80.9800714506
141.192276149,37.3199556843,14.8260243709,-81.9617835221
141.194890752,37.3200067317,15.0576809721,-83.4460515112
141.19750536,37.3200577217,15.2893375724,-85.4092126081
141.200119971,37.3201086541,15.5209941719,-86.9351460279
141.202734585,37.320159529,15.7526507704,-88.5383852621
141.205349203,37.3202103463,15.9843073681,-90.5969895427
141.207963825,37.3202611062,16.2159639649,-91.5215967487
141.21057845,37.3203118085,16.4476205608,-92.0470560954
141.213193078,37.3203624532,16.6792771558,-93.7562808197
141.21580771,37.3204130405,16.9109337499,-96.3006778621
141.218422346,37.3204635702,17.1425903432,-99.4437796163
141.221036985,37.3205140424,17.3742469355,-102.020777511
141.223651627,37.3205644571,17.605903527,-103.295894105
141.226266273,37.3206148142,17.8375601176,-102.430761005
141.228880922,37.3206651138,18.0692167074,-104.168785838
141.231495575,37.3207153559,18.3008732962,-106.851955971
141.234110231,37.3207655404,18.5325298842,-107.45618729
141.236724891,37.3208156675,18.7641864713,-107.869016563
141.239339554,37.3208657369,18.9958430576,-108.45650298
141.241954221,37.3209157489,19.227499643,-109.971892374
141.244568891,37.3209657033,19.4591562275,-111.586008701
141.247183565,37.3210156002,19.6908128111,-112.85505012
141.249798242,37.3210654396,19.9224693939,-113.123569928
141.252412922,37.3211152214,20.1541259757,-113.047860539
141.255027606,37.3211649458,20.3857825568,-113.408723317
141.257642293,37.3212146125,20.6174391369,-115.21012979
141.260256984,37.3212642218,20.8490957162,-118.008480977
141.262871678,37.3213137735,21.0807522947,-118.996092055
141.265486376,37.3213632677,21.3124088723,-119.705017747
141.268101077,37.3214127043,21.544065449,-120.717731906
141.270715781,37.3214620835,21.7757220248,-122.076532848
141.273330489,37.3215114051,22.0073785998,-123.151581269
141.2759452,37.3215606691,22.239035174,-123.05241268
141.278559914,37.3216098756,22.4706917472,-123.057269188
141.281174632,37.3216590246,22.7023483197,-123.252051175
141.283789354,37.3217081161,22.9340048912,-123.598972454
141.286404079,37.32175715,23.1656614619,-124.111952064
141.289018807,37.3218061264,23.3973180318,-124.760609649
141.291633538,37.3218550453,23.6289746008,-125.430296476
141.294248273,37.3219039066,23.860631169,-126.103463975
141.296863011,37.3219527104,24.0922877363,-126.757470257
141.299477753,37.3220014567,24.3239443027,-127.35314629
141.302092498,37.3220501454,24.5556008683,-127.841234494
141.304707246,37.3220987766,24.7872574331,-127.987447471
141.307321998,37.3221473503,25.018913997,-127.982220667
141.309936753,37.3221958664,25.2505705601,-127.944218719
141.312551511,37.322244325,25.4822271223,-128.431768255
141.315166273,37.3222927261,25.7138836837,-129.142413442
141.317781038,37.3223410696,25.9455402442,-129.850494243
141.320395806,37.3223893556,26.1771968039,-130.452477795
141.323010578,37.3224375841,26.4088533628,-131.01587979
141.325625353,37.322485755,26.6405099208,-131.645727487
141.328240132,37.3225338684,26.872166478,-132.278963844
141.330854913,37.3225819242,27.1038230343,-132.906511004
141.333469698,37.3226299225,27.3354795898,-133.518714428
141.336084487,37.3226778633,27.5671361445,-134.119577253
141.338699278,37.3227257466,27.7987926983,-134.682814971
141.341314073,37.3227735723,28.0304492513,-135.774312507
141.343928871,37.3228213405,28.2621058035,-137.040367837
141.346543673,37.3228690511,28.4937623549,-137.774024087
141.349158478,37.3229167042,28.7254189054,-138.042258497
141.351773286,37.3229642998,28.9570754551,-137.982238343
141.354388097,37.3230118378,29.1887320039,-138.590518267
141.357002912,37.3230593183,29.4203885519,-139.082321165
141.35961773,37.3231067412,29.6520450991,-139.003411229
141.362232551,37.3231541066,29.8837016455,-139.431836674
141.364847375,37.3232014145,30.1153581911,-140.133843354
141.367462203,37.3232486648,30.3470147358,-140.807234954
141.370077034,37.3232958576,30.5786712797,-141.124468258
141.372691868,37.3233429929,30.8103278228,-141.110917647
141.375306706,37.3233900706,31.041984365,-141.125868152
141.377921546,37.3234370908,31.2736409065,-141.131289627
141.38053639,37.3234840535,31.5052974471,-141.144084477
141.383151238,37.3235309586,31.7369539869,-141.100094249
141.385766088,37.3235778061,31.9686105259,-141.218297362
141.388380942,37.3236245962,32.2002670641,-141.872696094
141.390995799,37.3236713287,32.4319236014,-142.495780986
141.393610659,37.3237180036,32.663580138,-143.033219409
141.396225522,37.323764621,32.8952366737,-143.658944622
141.398840389,37.3238111809,33.1268932087,-144.046802153
141.401455258,37.3238576832,33.3585497428,-144.082222933
141.404070131,37.323904128,33.5902062761,-144.088404425
141.406685008,37.3239505153,33.8218628086,-144.102938936
141.409299887,37.323996845,34.0535193403,-144.205120893
141.411914769,37.3240431171,34.2851758711,-144.548358261
141.414529655,37.3240893318,34.5168324012,-145.08912251
141.417144544,37.3241354888,34.7484889305,-145.858849007
141.419759436,37.3241815884,34.980145459,-146.199229207
141.422374332,37.3242276304,35.2118019866,-145.939423366
141.42498923,37.3242736149,35.4434585135,-147.103490353
141.427604132,37.3243195418,35.6751150396,-148.660247555
141.430219037,37.3243654112,35.9067715649,-149.817810656
141.432833945,37.324411223,36.1384280893,-149.926784033
141.435448856,37.3244569773,36.370084613,-149.529274601
141.43806377,37.324502674,36.6017411359,-150.272250543
141.440678687,37.3245483133,36.833397658,-150.702852517
141.443293608,37.3245938949,37.0650541792,-150.525960369
141.445908532,37.3246394191,37.2967106997,-150.622342072
141.448523459,37.3246848856,37.5283672194,-150.96115395
141.451138389,37.3247302947,37.7600237384,-151.550367972
141.453753322,37.3247756462,37.9916802565,-152.601157151
141.456368258,37.3248209401,38.2233367738,-153.982871681
141.458983198,37.3248661765,38.4549932904,-155.34740957
141.46159814,37.3249113554,38.6866498061,-156.783840455
141.464213086,37.3249564767,38.9183063211,-158.344807956
141.466828034,37.3250015405,39.1499628353,-160.08241324
141.469442986,37.3250465467,39.3816193487,-161.445703833
141.472057941,37.3250914954,39.6132758613,-161.96651938
141.474672899,37.3251363866,39.8449323731,-162.577548626
141.477287861,37.3251812202,40.0765888842,-163.085083088
141.479902825,37.3252259962,40.3082453944,-162.97841367
141.482517792,37.3252707147,40.5399019039,-163.191076498
141.485132763,37.3253153757,40.7715584127,-163.897883622
141.487747736,37.3253599791,41.0032149206,-165.108907579
141.490362713,37.325404525,41.2348714278,-166.429382215
141.492977692,37.3254490133,41.4665279342,-167.600934944
141.495592675,37.3254934441,41.6981844398,-169.261042008
141.498207661,37.3255378173,41.9298409446,-171.256498366
141.50082265,37.325582133,42.1614974487,-173.421827222
141.503437642,37.3256263912,42.393153952,-175.300394525
141.506052636,37.3256705917,42.6248104545,-176.940483875
141.508667634,37.3257147348,42.8564669563,-178.799902144
141.511282635,37.3257588203,43.0881234573,-180.719997544
141.51389764,37.3258028483,43.3197799575,-182.655105885
141.516512647,37.3258468187,43.5514364569,-183.903239777
141.519127657,37.3258907315,43.7830929556,-184.986805103
141.52174267,37.3259345868,44.0147494536,-186.640809348
141.524357686,37.3259783846,44.2464059507,-188.078491633
141.526972705,37.3260221248,44.4780624471,-189.277172305
141.529587728,37.3260658075,44.7097189428,-190.572454755
141.532202753,37.3261094326,44.9413754376,-191.76194881
141.534817781,37.3261530002,45.1730319318,-192.776294913
141.537432813,37.3261965102,45.4046884251,-195.359253839
141.540047847,37.3262399627,45.6363449177,-198.143919625
141.542662884,37.3262833576,45.8680014096,-199.61683887
141.545277924,37.326326695,46.0996579007,-199.725639935
141.547892968,37.3263699748,46.331314391,-199.398778694
141.550508014,37.3264131971,46.5629708806,-201.686102031
141.553123063,37.3264563619,46.7946273695,-204.702000776
141.555738115,37.326499469,47.0262838575,-207.771469363
141.55835317,37.3265425187,47.2579403449,-209.333792579
141.560968228,37.3265855108,47.4895968315,-210.260807448
141.56358329,37.3266284453,47.7212533173,-211.160840629
141.566198354,37.3266713223,47.9529098024,-212.565848911
141.568813421,37.3267141417,48.1845662867,-213.862394626
141.571428491,37.3267569036,48.4162227703,-213.463392394
141.574043564,37.3267996079,48.6478792532,-212.413594488
141.576658639,37.3268422547,48.8795357353,-211.636737932
141.579273718,37.3268848439,49.1111922167,-219.465732899
141.5818888,37.3269273756,49.3428486973,-227.190959004
141.584503885,37.3269698498,49.5745051772,-228.226603254
141.587118972,37.3270122663,49.8061616563,-225.625878937
141.589734063,37.3270546254,50.0378181347,-223.126908775
141.592349156,37.3270969268,50.2694746124,-230.513403448
141.594964253,37.3271391708,50.5011310894,-234.676707204
141.597579352,37.3271813571,50.7327875656,-233.845589734
141.600194454,37.327223486,50.964444041,-235.439680267
141.602809559,37.3272655572,51.1961005158,-237.582880942
141.605424667,37.3273075709,51.4277569898,-239.41624465
141.608039778,37.3273495271,51.659413463,-241.782258499
141.610654892,37.3273914257,51.8910699356,-244.283902459
141.613270009,37.3274332668,52.1227264074,-246.085292811
141.615885128,37.3274750503,52.3543828785,-248.270743581
141.618500251,37.3275167762,52.5860393488,-250.852926113
141.621115376,37.3275584446,52.8176958185,-252.823095593
141.623730504,37.3276000555,53.0493522874,-254.652840734
141.626345635,37.3276416088,53.2810087556,-256.542507776
141.628960769,37.3276831045,53.512665223,-258.431196881
141.631575906,37.3277245427,53.7443216898,-260.302665033
141.634191046,37.3277659233,53.9759781558,-261.999593603
141.636806188,37.3278072464,54.2076346211,-264.522192078
141.639421334,37.3278485119,54.4392910857,-267.87648226
141.642036482,37.3278897199,54.6709475495,-271.60165131
141.644651633,37.3279308703,54.9026040127,-274.861882049
141.647266787,37.3279719632,55.1342604751,-277.230227016
141.649881943,37.3280129985,55.3659169368,-279.756456108
141.652497103,37.3280539762,55.5975733978,-282.319747863
141.655112265,37.3280948964,55.8292298581,-284.813132619
141.657727431,37.328135759,56.0608863177,-287.337553394
141.660342599,37.3281765641,56.2925427765,-289.887485233
141.662957769,37.3282173116,56.5241992347,-292.448064967
141.665572943,37.3282580016,56.7558556921,-294.677017927
141.668188119,37.328298634,56.9875121488,-296.480329606
141.670803299,37.3283392089,57.2191686049,-298.820297158
141.673418481,37.3283797262,57.4508250602,-301.333344534
141.676033666,37.3284201859,57.6824815148,-303.6850752
141.678648853,37.3284605881,57.9141379687,-306.098058774
141.681264044,37.3285009328,58.1457944219,-308.632424011
141.683879237,37.3285412198,58.3774508744,-311.462541785
141.686494433,37.3285814494,58.6091073262,-314.094222571
141.689109632,37.3286216213,58.8407637773,-316.443771244
141.691724833,37.3286617357,59.0724202278,-319.285820222
141.694340038,37.3287017926,59.3040766775,-322.44879726
141.696955245,37.3287417919,59.5357331265,-325.801074948
141.699570454,37.3287817336,59.7673895748,-328.783440231
141.702185667,37.3288216178,59.9990460224,-331.495012556
141.704800882,37.3288614444,60.2307024693,-334.021926877
141.7074161,37.3289012135,60.4623589156,-336.66382385
141.710031321,37.328940925,60.6940153611,-339.510558127
141.712646545,37.3289805789,60.925671806,-342.340711262
141.715261771,37.3290201753,61.1573282501,-345.286504339
141.717877,37.3290597141,61.3889846936,-348.497547012
141.720492232,37.3290991954,61.6206411364,-351.447324905
141.723107466,37.3291386191,61.8522975785,-354.224928635
141.725722704,37.3291779853,62.0839540199,-357.102677201
141.728337943,37.3292172938,62.3156104606,-359.74682167
141.730953186,37.3292565449,62.5472669007,-362.246534147
141.733568431,37.3292957384,62.77892334,-365.616459259
141.736183679,37.3293348743,63.0105797787,-369.936825571
141.73879893,37.3293739526,63.2422362167,-375.384725717
141.741414184,37.3294129734,63.473892654,-380.099670897
141.74402944,37.3294519366,63.7055490906,-383.788402671
141.746644698,37.3294908423,63.9372055266,-385.599690665
141.74925996,37.3295296904,64.1688619619,-387.575411592
141.751875224,37.329568481,64.4005183965,-390.180244724
141.754490491,37.329607214,64.6321748304,-394.645738222
141.757105761,37.3296458894,64.8638312637,-399.305954151
141.759721033,37.3296845073,65.0954876963,-403.383121019
141.762336308,37.3297230676,65.3271441282,-407.292812799
141.764951585,37.3297615703,65.5588005594,-411.302351751
141.767566865,37.3298000155,65.79045699,-415.864002929
141.770182148,37.3298384032,66.0221134199,-420.830802234
141.772797434,37.3298767332,66.2537698491,-425.753506722
141.775412722,37.3299150057,66.4854262777,-428.442337602
141.778028012,37.3299532207,66.7170827056,-430.564134986
141.780643306,37.329991378,66.9487391328,-432.713843112
141.783258602,37.3300294779,67.1803955594,-435.641513859
141.7858739,37.3300675201,67.4120519853,-438.767919265
141.788489202,37.3301055048,67.6437084106,-441.194749472
141.791104506,37.3301434319,67.8753648351,-445.491902924
141.793719812,37.3301813015,68.1070212591,-451.461070202
141.796335121,37.3302191135,68.3386776823,-458.261704195
141.798950433,37.330256868,68.5703341049,-464.043120154
141.801565747,37.3302945648,68.8019905269,-468.211395596
141.804181064,37.3303322042,69.0336469482,-473.751462021
141.806796384,37.3303697859,69.2653033688,-478.397328957
141.809411706,37.3304073101,69.4969597888,-479.955717985
141.812027031,37.3304447767,69.7286162082,-480.711813793
141.814642358,37.3304821858,69.9602726268,-480.935715249
141.817257688,37.3305195373,70.1919290449,-480.852212187
141.81987302,37.3305568312,70.4235854623,-481.199627692
141.822488355,37.3305940676,70.655241879,-482.20885305
141.825103693,37.3306312464,70.8868982951,-483.18990121
141.827719033,37.3306683676,71.1185547105,-484.565445415
141.830334376,37.3307054313,71.3502111253,-486.700438563
141.832949721,37.3307424374,71.5818675394,-487.935676761
141.835565069,37.330779386,71.813523953,-489.241167229
141.838180419,37.330816277,72.0451803658,-492.802192285
141.840795772,37.3308531104,72.276836778,-497.023838294
141.843411127,37.3308898862,72.5084931896,-501.492793874
141.846026485,37.3309266045,72.7401496005,-505.453974462
141.848641846,37.3309632652,72.9718060108,-508.991236027
141.851257209,37.3309998684,73.2034624205,-512.049467647
141.853872575,37.331036414,73.4351188295,-515.534628633
141.856487943,37.331072902,73.6667752379,-519.443481786
141.859103313,37.3311093325,73.8984316457,-523.969478247
141.861718686,37.3311457054,74.1300880528,-527.723016082
141.864334062,37.3311820207,74.3617444593,-530.702797861
141.86694944,37.3312182785,74.5934008651,-534.435151001
141.869564821,37.3312544787,74.8250572704,-538.039449783
141.872180204,37.3312906213,75.056713675,-541.114638733
141.87479559,37.3313267064,75.2883700789,-544.227154808
141.877410978,37.3313627339,75.5200264823,-547.351432832
141.880026368,37.3313987038,75.751682885,-550.475856794
141.882641762,37.3314346161,75.983339287,-553.602704675
141.885257157,37.3314704709,76.2149956885,-556.733241509
141.887872555,37.3315062682,76.4466520893,-559.856073509
141.890487956,37.3315420078,76.6783084896,-562.966526402
141.893103359,37.3315776899,76.9099648891,-566.06456004
141.895718764,37.3316133144,77.1416212881,-569.153502293
141.898334172,37.3316488814,77.3732776865,-572.428632939
141.900949582,37.3316843908,77.6049340842,-576.148812203
141.903564995,37.3317198426,77.8365904813,-579.904192859
141.90618041,37.3317552369,78.0682468778,-583.66361754
141.908795828,37.3317905735,78.2999032737,-587.415812487
141.911411248,37.3318258527,78.531559669,-591.201796605
141.914026671,37.3318610742,78.7632160636,-595.011387565
141.916642096,37.3318962382,78.9948724576,-598.319423886
141.919257523,37.3319313446,79.2265288511,-601.406837046
141.921872953,37.3319663934,79.4581852439,-604.471404864
141.924488385,37.3320013847,79.6898416361,-607.921098322
141.92710382,37.3320363184,79.9214980277,-611.651383649
141.929719257,37.3320711945,80.1531544187,-615.363454275
141.932334696,37.3321060131,80.3848108091,-618.691835028
141.934950138,37.3321407741,80.6164671988,-621.730426328
141.937565583,37.3321754775,80.848123588,-627.451568958
141.940181029,37.3322101234,81.0797799766,-633.453544987
141.942796478,37.3322447117,81.3114363646,-637.818970503
141.94541193,37.3322792424,81.5430927519,-641.587743473
141.948027384,37.3323137155,81.7747491387,-645.14470677
141.95064284,37.3323481311,82.0064055248,-648.657674075
141.953258298,37.3323824891,82.2380619104,-656.133555272
141.955873759,37.3324167895,82.4697182954,-667.902396605
141.958489223,37.3324510324,82.7013746797,-678.438238263
141.961104688,37.3324852177,82.9330310635,-685.552578103
141.963720156,37.3325193454,83.1646874467,-686.669266062
141.966335627,37.3325534156,83.3963438293,-690.222073747
141.9689511,37.3325874281,83.6280002113,-694.769914157
141.971566575,37.3326213831,83.8596565927,-697.137492762
141.974182052,37.3326552806,84.0913129735,-700.131124844
141.976797532,37.3326891204,84.3229693537,-703.995831005
141.979413014,37.3327229027,84.5546257333,-707.194919821
141.982028498,37.3327566275,84.7862821124,-710.288343593
141.984643985,37.3327902946,85.0179384908,-713.555409067
141.987259474,37.3328239042,85.2495948687,-714.821798861
141.989874966,37.3328574562,85.481251246,-714.157779293
